ID;Стоимость
10422379;3131638
192714934;2575150
100335930;3585926
113635973;3790772
125525832;9403561
121195995;7351687
143645988;4442721
156495381;3424127
156565385;7520499
159885518;9572866
170515351;7458703
173835484;6246027
172215580;2730152
184325294;7369464
114596132;8000777
146656449;3978413
140366644;4449395
167296244;6398487
198296575;2575150
103957863;7912810
148627161;10119497
173977335;8612649
171047649;8466490
171107643;4054128
175977682;4813571
175907683;4813571
175917683;8110607
175987683;8110607
175967684;4583767
175917685;4813571
175907686;4583767
175917686;4813571
175977686;8110607
175967688;4813571
175977688;4583767
173567738;4813571
173597738;4813571
173697733;4813571
173697735;4813571
173757735;3924353
173707738;4813571
173767738;4813571
173827731;3924353
108268396;3585926
117508556;3129474
126798133;4813571
142748867;4407152
147258863;13007916
147838956;6193344
164388222;4813571
164348224;3824943
164398224;4813571
164398225;4813571
164378226;4813571
164388226;4813571
164378227;4153538
164308228;4813571
164318228;4813571
164358228;4583767
164378228;4153538
164328229;4813571
164388229;4813571
161098391;8341074
178968225;8466490
185808007;7451548
185858008;7739976
185038014;7451548
185288017;10110748
180968626;2787434
195548101;8612649
195538102;4054128
195578102;8612649
195588103;4407152
195598104;8612649
195528109;4153538
195568109;4153538
195598109;4153538
191808437;10094819
191948436;6674266
191418784;7451548
192898919;7670826
102899306;6742705
104489954;4153538
109119938;4054128
115539029;3924757
116489087;3924757
116869080;3612274
117989000;12038674
111499261;8336541
111459264;8624970
111529495;5153802
112809405;5153802
112959410;3131638
110479729;4030410
118049741;8336541
123749142;2991324
124469116;4813571
124489116;4583767
129389447;4909442
122409680;6161607
122439680;5010148
122429681;7451548
122479681;10110748
122489681;10110748
120999931;3824943
120999932;3824943
120939933;3824943
120989933;3824943
120919935;3924353
120999935;3824943
120939936;4813571
120949936;3824943
120919938;4813571
120929938;3824943
120949939;3824943
120989939;3824943
120009940;3162829
120039940;3824943
120099940;3824943
120099941;3824943
120039942;3824943
120089942;3824943
120039943;3824943
120019944;3924353
120059944;4813571
120169940;4094668
120129941;4094668
120179942;4094668
120189942;4094668
120129943;4094668
120139943;4094668
120179943;4094668
120189943;4094668
120149944;3741945
120159944;4094668
120199944;3741945
120149945;3841355
120159945;3841355
130459021;3723101
136259016;8594434
136469180;11089725
136419182;6742705
133379231;3775504
135739561;4418822
131749648;4054128
139019862;13854618
134429977;10110748
148049015;3202553
143549365;5213337
143599365;3579617
143549366;3267433
143569366;3267433
143599366;3579617
147779464;8612649
147469709;3131638
148939716;4521587
148949716;4761453
148959716;4531649
148979716;8110607
148099721;3411632
148099727;10243742
148039728;9360346
140479964;3824943
140479965;3824943
140479967;3824943
140419968;4813571
140459968;3824943
140409969;3741945
140439969;4094668
140509960;3741945
140519960;3741945
140539960;4094668
140519961;4054128
152549070;4951344
150959292;8416711
152519201;3005133
157409258;3361453
159999270;3775504
152179607;10110748
157939619;7262119
153509779;11361080
158099753;3741945
154369839;2725928
155429978;2409546
162849313;7031133
166559433;8701357
166479490;2409546
160459552;4054128
165759647;5230229
169169826;3328633
169209878;4327370
170829073;4407152
174189137;233598896
170819288;3162829
177869294;3356487
176629331;8357259
176639331;8357259
176689332;3711959
176639333;9018930
176669333;9746783
176619338;3350432
176769330;9018930
176719331;6017110
176729331;9018930
176759331;8357259
176779331;8357259
176709332;4024442
176789334;8357259
176729335;3350432
176749335;8357259
176769336;9018930
176729338;6444731
